#TimeStamp(in microSec);Age;Anger;Contempt;Disgust;Engagement;Fear;Joy;Sadness;Surprise;Valence;Attention;Browfurrow;BrowRaise;Cheekraise;Chinraise;Dimpler;Eyeclosure;Eyewiden;InnerBrowraise;Jawdrop;Lidtighten;Lipcornerdepressor;Lippress;Lippucker;Lipstretch;Lipsuck;Mouthopen;Nosewrinkle;Smile;Smirk;Upperlipraise;Pitch;Roll;Yaw;Id
7907;0; 0.000003; 0.000128; 0.000540; 99.906639;0.000010;99.483444;0.000031;0.194392;98.441521;98.618950;0.006894;0.070019;24.909603;0.112659;0.062327;0.000000;0.000051;0.003939;0.259886;0.013434;0.007935;0.013540;0.094536;18.619888;4.596786;0.021250;0.090997;98.828865;0.915563;0.000001;-4.839108;-0.598022;-0.657894;0
7970;0; 0.000004; 0.000132; 0.000532; 99.904449;0.000010;99.469337;0.000031;0.194509;98.273155;98.476936;0.007373;0.083971;26.021320;0.139684;0.073727;0.000000;0.000062;0.004040;0.256902;0.014690;0.007973;0.023214;0.089129;16.977186;5.106366;0.020884;0.080695;98.666344;1.065443;0.000002;-2.799811;-0.182100;-1.154532;0
8034;0; 0.000004; 0.000130; 0.000497; 99.905937;0.000009;99.478867;0.000030;0.194355;97.873055;98.656693;0.008398;0.071169;24.966496;0.209324;0.132752;0.000000;0.000060;0.003662;0.254497;0.016519;0.008334;0.030691;0.077233;15.685053;6.322586;0.019561;0.059210;98.775810;1.001024;0.000002;-4.252338;-0.355245;-0.517448;0
8110;0; 0.000004; 0.000131; 0.000501; 99.905045;0.000009;99.473099;0.000030;0.194330;97.856354;98.698792;0.011499;0.074767;24.584366;0.210598;0.139528;0.000001;0.000071;0.003685;0.249325;0.018476;0.008107;0.026484;0.081470;13.327982;6.372354;0.018759;0.061096;98.710213;1.043568;0.000001;-3.877650;-0.800760;-0.356078;0
8175;0; 0.000004; 0.000146; 0.000546; 99.895607;0.000009;99.412682;0.000032;0.194587;98.148216;98.504097;0.011595;0.089111;26.158211;0.171512;0.139009;0.000000;0.000101;0.003111;0.280533;0.018475;0.007607;0.020203;0.074475;12.595820;5.498890;0.018802;0.062327;98.045967;1.571296;0.000001;-4.258109;-0.476581;-1.063161;0
8237;0; 0.000004; 0.000138; 0.000510; 99.900787;0.000008;99.445686;0.000030;0.194600;97.817795;98.693489;0.011246;0.095033;22.359652;0.222973;0.154777;0.000000;0.000105;0.002854;0.268560;0.018384;0.007371;0.014865;0.063352;10.970284;6.480850;0.018475;0.070000;98.402580;1.259729;0.000002;-4.311612;-0.349715;-0.376703;0
8300;0; 0.000004; 0.000138; 0.000515; 99.900490;0.000008;99.443527;0.000031;0.194739;97.859436;98.754646;0.011881;0.108201;23.307095;0.201472;0.157745;0.000001;0.000107;0.002841;0.273443;0.017544;0.007184;0.010698;0.068411;11.070313;6.362380;0.018340;0.077758;98.381622;1.280157;0.000002;-3.925853;-0.709544;-0.133878;0
8361;0; 0.000004; 0.000143; 0.000558; 99.896912;0.000008;99.420799;0.000032;0.194760;98.275993;98.564842;0.011700;0.101721;24.464714;0.159140;0.136659;0.000001;0.000107;0.002249;0.294807;0.017382;0.006804;0.008176;0.062936;8.284849;5.119225;0.018666;0.065114;98.134102;1.439727;0.000001;-4.252430;-0.273484;-0.852821;0
8423;0; 0.000004; 0.000157; 0.000561; 99.888031;0.000008;99.363533;0.000033;0.194955;98.057549;98.606445;0.011899;0.106217;23.851002;0.191245;0.131157;0.000000;0.000110;0.002508;0.332638;0.017432;0.007483;0.013179;0.061219;7.817090;5.762036;0.019686;0.068340;97.555229;1.879428;0.000002;-3.763433;-0.987480;-0.703604;0
8518;0; 0.000004; 0.000160; 0.000586; 99.885178;0.000008;99.345222;0.000033;0.194908;98.241821;98.482689;0.012902;0.094574;21.571064;0.186107;0.096770;0.000001;0.000087;0.002306;0.354462;0.018741;0.009000;0.009852;0.073550;6.666914;5.180533;0.018580;0.071828;97.378990;1.951781;0.000002;-3.961016;-0.866273;-1.135301;0
8580;0; 0.000004; 0.000178; 0.000601; 99.873024;0.000008;99.265480;0.000035;0.195030;98.073532;98.658455;0.013879;0.101946;26.789644;0.206297;0.081400;0.000001;0.000096;0.002382;0.369791;0.019412;0.009270;0.014587;0.075947;6.824975;5.668344;0.018796;0.080897;96.673706;2.482918;0.000002;-3.261419;-0.697341;-0.510799;0
8642;0; 0.000004; 0.000229; 0.000717; 99.838913;0.000009;99.037262;0.000040;0.195061;98.520432;98.746834;0.013591;0.100106;17.963440;0.194860;0.081560;0.000000;0.000099;0.002265;0.381301;0.019388;0.009619;0.016725;0.070298;5.829708;4.259733;0.019181;0.087658;95.005699;3.639458;0.000002;-4.468630;-1.050140;-0.165547;0
8705;0; 0.000004; 0.000238; 0.000725; 99.831268;0.000009;98.985832;0.000040;0.194909;98.457787;98.733376;0.014118;0.080774;16.079500;0.247574;0.092660;0.000001;0.000069;0.002605;0.391311;0.020864;0.009993;0.013452;0.071621;5.453699;4.415952;0.019432;0.081493;94.680748;3.786870;0.000002;-4.470793;-0.901954;-0.219641;0
8767;0; 0.000005; 0.000283; 0.000775; 99.798393;0.000010;98.758972;0.000044;0.194763;98.340218;98.784386;0.017085;0.070809;18.289724;0.307618;0.097326;0.000002;0.000052;0.002398;0.387708;0.023815;0.010866;0.027453;0.069712;5.357899;4.706215;0.019516;0.081988;93.432251;4.534596;0.000002;-4.678030;-1.228802;0.011529;0
8831;0; 0.000006; 0.000374; 0.000876; 99.738922;0.000012;98.337570;0.000050;0.194601;96.936363;98.695580;0.016985;0.065754;17.539431;0.344795;0.113412;0.000001;0.000038;0.002393;0.357564;0.023297;0.010467;0.021198;0.053707;5.878769;4.543604;0.020119;0.080605;91.618477;5.879155;0.000002;-3.310163;-0.881824;0.368580;0
8909;0; 0.000006; 0.000343; 0.000838; 99.753632;0.000011;98.443237;0.000048;0.194612;94.969551;98.604996;0.020530;0.055088;12.279795;0.515674;0.114067;0.000001;0.000026;0.002697;0.395987;0.024655;0.012281;0.021952;0.051870;4.960957;4.891225;0.021444;0.083885;92.025505;5.339834;0.000002;-3.647928;-1.001218;-0.708876;0
8970;0; 0.000005; 0.000280; 0.000786; 99.794235;0.000010;98.730438;0.000044;0.194756;98.324745;98.676796;0.022010;0.051039;17.551420;0.510313;0.123951;0.000001;0.000026;0.002621;0.445607;0.028102;0.013059;0.031331;0.060968;4.680256;4.511578;0.023027;0.097880;93.289215;4.333744;0.000002;-3.718578;-0.937113;0.441024;0
9032;0; 0.000005; 0.000325; 0.000874; 99.757126;0.000011;98.468491;0.000048;0.194976;96.954384;98.752113;0.020553;0.052117;15.911531;0.450361;0.139467;0.000000;0.000030;0.002710;0.490988;0.028231;0.011677;0.021617;0.060679;4.261651;3.856132;0.026268;0.104051;92.125946;4.925447;0.000002;-3.477849;-1.071697;-0.144203;0
9096;0; 0.000005; 0.000370; 0.000950; 99.719330;0.000011;98.196770;0.000052;0.194772;94.228790;98.694603;0.021891;0.047453;11.669961;0.345796;0.141412;0.000000;0.000022;0.002770;0.454110;0.026791;0.011418;0.020232;0.054877;4.085736;3.500659;0.026252;0.102186;91.110489;5.414477;0.000002;-3.905510;-0.960311;-0.372374;0
9158;0; 0.000005; 0.000314; 0.000840; 99.756500;0.000010;98.464111;0.000048;0.194907;96.050323;98.733727;0.018900;0.052379;14.378311;0.424488;0.161901;0.000000;0.000018;0.002887;0.467385;0.025740;0.011603;0.028827;0.048861;3.516589;4.625642;0.026403;0.098112;92.107582;4.593106;0.000002;-3.637289;-1.273396;0.218259;0
9236;0; 0.000005; 0.000303; 0.000823; 99.766624;0.000010;98.535835;0.000047;0.195002;96.480896;98.654068;0.018626;0.059334;14.589000;0.426470;0.190305;0.000000;0.000022;0.002782;0.471744;0.023345;0.012129;0.025213;0.052514;3.651345;4.577669;0.027784;0.078633;92.405396;4.459159;0.000002;-3.121123;-0.871922;0.527339;0
9315;0; 0.000006; 0.000392; 0.000949; 99.684784;0.000012;97.944748;0.000054;0.195206;92.764580;98.742012;0.015817;0.063017;10.935993;0.373865;0.186206;0.000000;0.000031;0.003048;0.503724;0.020606;0.014056;0.026101;0.046744;2.891391;4.442109;0.029954;0.064256;90.295616;5.379576;0.000002;-3.722601;-1.169837;0.185011;0
9377;0; 0.000007; 0.000445; 0.000986; 99.644035;0.000012;97.643295;0.000057;0.195430;90.785912;98.752884;0.013618;0.074684;8.702156;0.463227;0.181944;0.000000;0.000049;0.003035;0.522816;0.020417;0.015319;0.038550;0.041265;2.987489;4.751513;0.031891;0.057787;89.441635;5.974682;0.000002;-3.881515;-1.165655;-0.141055;0
9438;0; 0.000007; 0.000519; 0.001078; 99.566490;0.000013;97.060516;0.000062;0.195557;88.901985;98.650566;0.011284;0.088465;7.660143;0.381018;0.184510;0.000000;0.000062;0.003280;0.514957;0.019838;0.014003;0.034720;0.033878;2.529120;4.765433;0.030980;0.057278;88.056580;6.441634;0.000002;-3.781964;-0.224937;0.540501;0
9502;0; 0.000010; 0.001049; 0.001581; 99.100433;0.000019;93.432358;0.000089;0.195664;83.423866;98.754219;0.009166;0.106388;6.802371;0.287259;0.205366;0.000000;0.000075;0.003531;0.493195;0.018052;0.013505;0.034501;0.035227;2.577158;3.813185;0.029072;0.057900;82.913879;9.441855;0.000002;-4.280238;-0.534940;0.135655;0
9564;0; 0.000011; 0.001302; 0.001768; 98.858063;0.000021;91.521309;0.000100;0.195651;80.842918;98.633911;0.009720;0.104296;4.919119;0.313075;0.189407;0.000001;0.000072;0.003473;0.498177;0.015956;0.013019;0.025516;0.030125;2.402535;3.789881;0.027923;0.054143;81.226746;10.281816;0.000002;-3.962655;-1.367174;-0.602667;0
9627;0; 0.000012; 0.001649; 0.002047; 98.437325;0.000024;88.233780;0.000116;0.195690;78.229378;98.764099;0.008943;0.107214;4.268351;0.311169;0.192269;0.000000;0.000072;0.003374;0.500691;0.014822;0.013441;0.019455;0.029624;2.136887;3.739921;0.026396;0.051392;79.001152;10.937100;0.000002;-4.310813;-1.210871;-0.095331;0
9705;0; 0.000025; 0.007267; 0.004433; 92.588287;0.000051;54.027779;0.000250;0.196032;65.806442;98.717056;0.010022;0.107324;2.774849;0.300026;0.154489;0.000000;0.000073;0.003701;0.588301;0.015183;0.012733;0.014506;0.025542;1.780360;3.099464;0.028356;0.054254;67.675697;16.902773;0.000002;-3.309798;-0.981099;0.284497;0
9768;0; 0.000030; 0.008644; 0.005128; 90.055016;0.000059;44.834324;0.000290;0.196121;63.624870;98.682426;0.009359;0.118003;3.235551;0.240198;0.102677;0.000000;0.000083;0.004230;0.579978;0.014649;0.011409;0.017794;0.026552;1.557723;3.132721;0.029757;0.053049;65.423462;16.947363;0.000002;-3.436197;-1.357936;-0.419456;0
9831;0; 0.000030; 0.008638; 0.005425; 89.264458;0.000061;42.430626;0.000304;0.196064;63.113033;98.708679;0.009761;0.118391;3.346028;0.288702;0.107516;0.000001;0.000069;0.003883;0.565899;0.014946;0.012462;0.036685;0.032519;1.449846;2.808512;0.029887;0.066040;64.826302;16.518616;0.000002;-4.716733;-0.885700;0.317458;0
9908;0; 0.000028; 0.007822; 0.005202; 90.348267;0.000058;45.787640;0.000288;0.196012;64.486015;98.599457;0.009292;0.103926;4.315283;0.241877;0.100642;0.000000;0.000054;0.003664;0.587805;0.015184;0.012165;0.037559;0.032840;1.445096;2.574626;0.029691;0.076858;65.655739;16.170637;0.000002;-4.661689;-0.957119;0.728970;0
9971;0; 0.000044; 0.016049; 0.008062; 78.341919;0.000090;22.134100;0.000450;0.195920;57.409515;98.684326;0.009766;0.097884;4.190142;0.271932;0.105116;0.000000;0.000054;0.003065;0.582038;0.015102;0.010507;0.034815;0.033485;1.315057;2.485899;0.029245;0.064807;58.999928;18.237064;0.000002;-4.121296;-1.278929;-0.412128;0
10033;0; 0.000043; 0.014075; 0.007311; 80.618706;0.000084;25.011581;0.000417;0.195814;57.939339;98.578178;0.010974;0.099660;3.576227;0.347977;0.089977;0.000000;0.000060;0.003333;0.556058;0.015931;0.009692;0.027854;0.028271;1.261342;3.185199;0.027563;0.068648;59.977955;17.692152;0.000002;-4.655335;-1.790304;0.805421;0
10112;0; 0.000039; 0.010295; 0.006512; 84.032875;0.000075;30.390388;0.000373;0.196016;59.743538;98.476372;0.011445;0.106664;3.853821;0.376745;0.086654;0.000001;0.000073;0.003189;0.591209;0.017312;0.010354;0.016497;0.029548;1.179335;3.349003;0.027902;0.068094;61.624729;15.910681;0.000002;-4.051287;-0.631856;1.156397;0
10143;0; 0.000046; 0.013650; 0.007347; 79.457764;0.000087;23.475323;0.000427;0.196406;57.887440;98.594696;0.010517;0.112960;5.348722;0.617352;0.092711;0.000001;0.000081;0.003305;0.673239;0.017736;0.010717;0.026185;0.033735;1.202122;3.750770;0.026976;0.066000;59.469193;17.043850;0.000002;-3.428522;-0.924737;0.746195;0
10204;0; 0.000041; 0.010868; 0.006739; 82.589355;0.000078;27.925766;0.000389;0.196496;59.234299;98.757599;0.009306;0.123393;4.818810;0.573283;0.080732;0.000000;0.000086;0.003503;0.663429;0.017460;0.011307;0.035838;0.037414;1.103832;3.604071;0.029218;0.064444;60.897591;15.907115;0.000002;-3.637989;-1.098953;0.121886;0
10267;0; 0.000038; 0.008545; 0.006047; 85.522903;0.000071;33.263805;0.000350;0.196603;60.578968;98.740593;0.008595;0.109308;4.244459;0.541726;0.083296;0.000000;0.000069;0.003258;0.722080;0.015331;0.011465;0.041063;0.036879;1.048098;3.761469;0.030844;0.059780;62.433510;14.727715;0.000003;-3.121811;-1.592813;0.190707;0
10329;0; 0.000042; 0.009613; 0.006844; 82.136551;0.000079;27.229944;0.000395;0.196547;58.763397;98.690331;0.009965;0.096082;4.219981;0.586468;0.105704;0.000000;0.000059;0.003459;0.745753;0.015557;0.010352;0.041663;0.038597;0.998770;3.559113;0.030036;0.054569;60.679382;14.598056;0.000002;-4.215178;-1.103294;0.388951;0
