#TimeStamp(inmicroSec);Age;Anger;Contempt;Disgust;Engagement;Fear;Joy;Sadness;Surprise;Valence;Attention;Browfurrow;BrowRaise;Cheekraise;Chinraise;Dimpler;Eyeclosure;Eyewiden;InnerBrowraise;Jawdrop;Lidtighten;Lipcornerdepressor;Lippress;Lippucker;Lipstretch;Lipsuck;Mouthopen;Nosewrinkle;Smile;Smirk;Upperlipraise;Pitch;Roll;Yaw;Id
5976;0;0.001970;0.192685;0.428157;0.081007;0.004505;0.001824;0.023973;0.194121;0.000000;98.214333;0.001403;0.078192;0.026108;0.049219;0.023509;0.000000;0.000048;0.004920;0.170874;0.005973;0.008639;0.039682;0.003442;0.024731;0.013873;0.006363;0.001957;0.000000;0.000308;0.000001;-0.613376;0.315849;-1.963215;0
6039;0;0.001969;0.192686;0.428630;0.081403;0.004503;0.001824;0.023967;0.194196;0.000000;98.201775;0.001721;0.082581;0.031524;0.048339;0.023584;0.000000;0.000052;0.005107;0.179886;0.006634;0.009004;0.052506;0.003230;0.023301;0.013481;0.006388;0.001610;0.000000;0.000316;0.000001;-0.718564;0.149344;-1.998879;0
6118;0;0.001969;0.192686;0.428887;0.081592;0.004504;0.001824;0.023974;0.194164;0.000000;98.305283;0.001858;0.082132;0.030714;0.044370;0.023640;0.000000;0.000052;0.005148;0.173231;0.006926;0.008467;0.035895;0.003408;0.024281;0.012285;0.006407;0.001760;0.000000;0.000307;0.000001;-1.416115;-0.167410;-1.697201;0
6180;0;0.001970;0.192688;0.428754;0.081436;0.004503;0.001825;0.023978;0.194135;0.000000;98.634888;0.002397;0.072528;0.029491;0.047686;0.020071;0.000000;0.000049;0.005035;0.190619;0.007793;0.008586;0.043771;0.003868;0.024746;0.010246;0.007011;0.001927;0.000000;0.000294;0.000001;-0.691003;-0.924854;-0.599073;0
6243;0;0.001969;0.192689;0.429019;0.081618;0.004499;0.001824;0.023980;0.194286;0.000000;98.556908;0.002685;0.080423;0.027314;0.046570;0.018005;0.000000;0.000048;0.005493;0.209932;0.008099;0.009418;0.032476;0.003960;0.021856;0.008395;0.007187;0.002076;0.000000;0.000284;0.000001;-0.748819;-1.328651;-0.880758;0
6320;0;0.001969;0.192690;0.428940;0.081537;0.004498;0.001824;0.023985;0.194314;0.000000;98.574280;0.003247;0.080171;0.023272;0.044687;0.015377;0.000000;0.000046;0.005742;0.219424;0.008812;0.008574;0.024834;0.004263;0.023113;0.007532;0.007117;0.002097;0.000000;0.000231;0.000002;-1.033486;-1.614148;-0.819332;0
6383;0;0.001968;0.192688;0.428807;0.081397;0.004494;0.001824;0.023981;0.194434;0.000000;98.536751;0.002774;0.086635;0.017961;0.040323;0.013291;0.000000;0.000054;0.006293;0.232266;0.008695;0.009383;0.026627;0.005117;0.020706;0.005889;0.007148;0.002133;0.000000;0.000217;0.000002;-0.767617;-1.043827;-0.951132;0
6446;0;0.001968;0.192689;0.428775;0.081366;0.004492;0.001823;0.023980;0.194554;0.000000;98.392220;0.003134;0.094160;0.011332;0.051272;0.015108;0.000000;0.000064;0.007331;0.244455;0.008951;0.009583;0.024824;0.006746;0.022410;0.005699;0.007117;0.002167;0.000000;0.000227;0.000002;-1.121918;-1.439955;-1.429453;0
6508;0;0.001967;0.192690;0.428946;0.081489;0.004489;0.001823;0.023980;0.194670;0.000000;98.512749;0.003323;0.098932;0.009295;0.046846;0.012198;0.000000;0.000057;0.008604;0.261733;0.009307;0.009897;0.025520;0.007162;0.025924;0.004120;0.007022;0.001908;0.000000;0.000240;0.000002;-0.700913;-1.134896;-1.033693;0
6571;0;0.001968;0.192691;0.429289;0.081738;0.004485;0.001824;0.023984;0.194702;0.000000;98.655869;0.003361;0.089429;0.009164;0.044718;0.011164;0.000000;0.000053;0.008146;0.294309;0.009735;0.010303;0.029397;0.006651;0.024653;0.003643;0.006985;0.002797;0.000000;0.000240;0.000002;-0.194773;-0.310798;-0.520552;0
6634;0;0.001967;0.192689;0.429215;0.081676;0.004481;0.001824;0.023979;0.194807;0.000000;98.706963;0.002990;0.090030;0.010284;0.043766;0.011315;0.000000;0.000050;0.008269;0.318598;0.009488;0.009808;0.040034;0.008149;0.023561;0.003483;0.007017;0.002727;0.000000;0.000215;0.000002;-0.175041;-0.563339;-0.324195;0
6728;0;0.001968;0.192689;0.429657;0.082068;0.004479;0.001824;0.023976;0.194843;0.000000;98.680138;0.003125;0.085896;0.013006;0.046295;0.014782;0.000000;0.000052;0.008989;0.338213;0.010134;0.010484;0.056675;0.008411;0.021989;0.004713;0.006623;0.002767;0.000000;0.000199;0.000002;-0.683804;-0.874052;-0.428206;0
6790;0;0.001969;0.192690;0.430096;0.082418;0.004475;0.001824;0.023982;0.194898;0.000000;98.662842;0.003383;0.079370;0.020461;0.051652;0.013263;0.000000;0.000059;0.008926;0.369408;0.011398;0.011459;0.053877;0.009120;0.019716;0.004990;0.006704;0.003448;0.000000;0.000210;0.000002;-0.397931;-1.574994;-0.494196;0
